epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.2682262659072876,0.9748799800872803,3e-05,0.05984635278582573,0.7090803384780884
1,0.31139466166496277,0.9248339533805847,3e-05,0.05971875041723251,0.7077810764312744
2,0.3626743257045746,0.8819398880004883,3e-05,0.06033072993159294,0.7060372829437256
3,0.41169270873069763,0.8461322784423828,3e-05,0.061541665345430374,0.7040095925331116
4,0.4577220678329468,0.8102431893348694,3e-05,0.06466927379369736,0.7034624218940735
5,0.49942272901535034,0.7757847905158997,3e-05,0.07173437625169754,0.7046910524368286
6,0.5396282076835632,0.7414336800575256,3e-05,0.08149739354848862,0.7050585746765137
7,0.5806539058685303,0.707304060459137,3e-05,0.11137760430574417,0.7044938206672668
8,0.6221969127655029,0.6745500564575195,3e-05,0.1201484352350235,0.7032198309898376
9,0.6674428582191467,0.6429927349090576,3e-05,0.12463802099227905,0.7013730406761169
10,0.7119429707527161,0.6123640537261963,3e-05,0.17282551527023315,0.699070394039154
11,0.7548950910568237,0.5829073786735535,3e-05,0.3351171910762787,0.6959885954856873
12,0.794552206993103,0.5535678267478943,3e-05,0.5642630457878113,0.6921768188476562
13,0.8269147872924805,0.5262010097503662,3e-05,0.7181171774864197,0.6875468492507935
14,0.8540270328521729,0.5001925230026245,3e-05,0.8357187509536743,0.6822664141654968
15,0.8765357136726379,0.47601115703582764,3e-05,0.9414791464805603,0.6765174865722656
16,0.895542562007904,0.4527081847190857,3e-05,0.9500156044960022,0.6702466607093811
17,0.910169243812561,0.43223196268081665,3e-05,0.9473620057106018,0.6635532379150391
18,0.9228935241699219,0.41320693492889404,3e-05,0.9436197876930237,0.6566022038459778
19,0.9331459999084473,0.3956998586654663,3e-05,0.9415521025657654,0.6495156288146973
20,0.9416782259941101,0.3795928955078125,3e-05,0.9391953349113464,0.6423283219337463
21,0.9490748047828674,0.36473003029823303,3e-05,0.938156247138977,0.6350549459457397
22,0.9548278450965881,0.35156434774398804,3e-05,0.938601553440094,0.6277045607566833
23,0.9593930840492249,0.33949053287506104,3e-05,0.9386354088783264,0.6203639507293701
24,0.9637427926063538,0.3274171054363251,3e-05,0.9382473826408386,0.61296147108078
25,0.9675947427749634,0.3165387809276581,3e-05,0.9385547041893005,0.6055734157562256
26,0.9708593487739563,0.3067684471607208,3e-05,0.9384974241256714,0.5982707738876343
27,0.9734208583831787,0.29801273345947266,3e-05,0.9389322996139526,0.591050386428833
28,0.9762384295463562,0.28857967257499695,3e-05,0.9393932223320007,0.5838845372200012
29,0.978062093257904,0.28090035915374756,3e-05,0.9397500157356262,0.5767980217933655
30,0.9799602031707764,0.2733129858970642,3e-05,0.9400572776794434,0.5698255300521851
31,0.9811299443244934,0.26699474453926086,3e-05,0.940442681312561,0.5629867911338806
32,0.9832096099853516,0.25929829478263855,3e-05,0.9405520558357239,0.5562915205955505
33,0.9827654957771301,0.25631269812583923,3e-05,0.9406822919845581,0.5497675538063049
34,0.9848350882530212,0.24883116781711578,3e-05,0.9408281445503235,0.5434425473213196
35,0.9857696890830994,0.24377046525478363,3e-05,0.9409297108650208,0.5372689366340637
36,0.9864843487739563,0.23801620304584503,3e-05,0.9410208463668823,0.5312260985374451
37,0.9882776141166687,0.23194551467895508,3e-05,0.9411302208900452,0.5253256559371948
38,0.9879166483879089,0.2294497787952423,3e-05,0.9415104389190674,0.5195347666740417
39,0.9889909029006958,0.22382444143295288,3e-05,0.9423776268959045,0.5138112902641296
40,0.9896708726882935,0.21989141404628754,3e-05,0.9425416588783264,0.5082435011863708
41,0.9901200532913208,0.21573406457901,3e-05,0.9426093697547913,0.5027858018875122
42,0.9911624789237976,0.21125555038452148,3e-05,0.9426380395889282,0.4973769187927246
43,0.9916934370994568,0.20806580781936646,3e-05,0.9426458477973938,0.49206942319869995
44,0.9913751482963562,0.20563165843486786,3e-05,0.9426510334014893,0.48678380250930786
45,0.9925050735473633,0.2015114575624466,3e-05,0.942661464214325,0.48155444860458374
46,0.992850124835968,0.1985161304473877,3e-05,0.942661464214325,0.47631970047950745
47,0.993356466293335,0.19540488719940186,3e-05,0.9426666498184204,0.47103849053382874
